User_ID,Home_Hub,Work_Hub,Mode,Monthly_Income,Is_Rainy_Day,Daily_Commute_Cost,Daily_Time_Mins,Sleep_Debt_Hours,Monthly_Cash_Spend,Hourly_Rate,Monthly_Hours_Lost,Opportunity_Cost,Sleep_Debt_Cost,Total_Commute_Tax,Tax_Percentage_of_Income
LOS-0000,Ikorodu,Victoria Island,Danfo,290934,1,5400.0,330,3.0,95040.0,1818.3375,121.0,88007.54,30002.568750000002,213050.1,73.23
LOS-0001,Surulere,Victoria Island,Danfo,75844,0,1800.0,120,1.5,47520.0,474.025,44.0,8342.84,3910.7062499999997,59773.55,78.81
LOS-0002,Egbeda,Victoria Island,Private Car,696686,1,18200.0,330,3.0,322000.0,4354.2875,121.0,210747.52,71845.74375000001,604593.26,86.78
LOS-0003,Egbeda,Victoria Island,Private Car,373098,0,14000.0,240,3.0,322000.0,2331.8625,88.0,82081.56,38475.731250000004,442557.29,118.62
LOS-0004,Surulere,Victoria Island,Private Car,731675,0,8000.0,120,1.5,184000.0,4572.96875,44.0,80484.25,37726.9921875,302211.24,41.3
LOS-0005,Egbeda,Ikeja,Private Car,527547,0,6000.0,240,3.0,138000.0,3297.16875,88.0,116060.34,54403.284374999996,308463.62,58.47
LOS-0006,Egbeda,Victoria Island,BRT,82790,1,1960.0,330,3.0,43120.0,517.4375,121.0,25043.98,8537.71875,76701.69,92.65
LOS-0007,Egbeda,Ikeja,Private Car,587552,0,6000.0,240,3.0,138000.0,3672.2,88.0,129261.44,60591.299999999996,327852.74,55.8
LOS-0008,Ikorodu,Victoria Island,Danfo,704257,1,5400.0,330,3.0,95040.0,4401.60625,121.0,213037.74,72626.503125,380704.25,54.06
LOS-0009,Ikorodu,Victoria Island,Danfo,264031,0,3600.0,240,3.0,95040.0,1650.19375,88.0,58086.82,27228.196874999998,180355.02,68.31
LOS-0010,Egbeda,Ikeja,Private Car,796850,1,7800.0,330,3.0,138000.0,4980.3125,121.0,241047.12,82175.15625,461222.28,57.88
LOS-0011,Egbeda,Ikeja,Private Car,517711,1,7800.0,330,3.0,138000.0,3235.69375,121.0,156607.58,53388.946875,347996.52,67.22
LOS-0012,Ikorodu,Victoria Island,Private Car,822583,1,20280.0,330,3.0,358800.0,5141.14375,121.0,248831.36,84828.871875,692460.23,84.18
LOS-0013,Surulere,Victoria Island,Private Car,710124,0,8000.0,120,1.5,184000.0,4438.275,44.0,78113.64,36615.768749999996,298729.41,42.07
LOS-0014,Egbeda,Victoria Island,Private Car,609737,0,14000.0,240,3.0,322000.0,3810.85625,88.0,134142.14,62879.128124999996,519021.27,85.12
LOS-0015,Egbeda,Ikeja,Danfo,80242,0,1600.0,240,3.0,42240.0,501.5125,88.0,17653.24,8274.95625,68168.2,84.95
LOS-0016,Surulere,Victoria Island,Private Car,847246,0,8000.0,120,1.5,184000.0,5295.2875,44.0,93197.06,43686.121875000004,320883.18,37.87
LOS-0017,Ikorodu,Victoria Island,Danfo,363846,0,3600.0,240,3.0,95040.0,2274.0375,88.0,80046.12,37521.61875,212607.74,58.43
LOS-0018,Ikorodu,Ikeja,Danfo,78832,0,2400.0,240,3.0,63360.0,492.7,88.0,17343.04,8129.55,88832.59,112.69
LOS-0019,Ikorodu,Victoria Island,Danfo,73909,0,3600.0,240,3.0,95040.0,461.93125,88.0,16259.98,7621.865624999999,118921.85,160.9
LOS-0020,Egbeda,Ikeja,Private Car,219020,0,6000.0,240,3.0,138000.0,1368.875,88.0,48184.4,22586.4375,208770.84,95.32
LOS-0021,Surulere,Victoria Island,Private Car,483198,0,8000.0,120,1.5,184000.0,3019.9875,44.0,53151.78,24914.896875000002,262066.68,54.24
LOS-0022,Surulere,Victoria Island,Private Car,800543,0,8000.0,120,1.5,184000.0,5003.39375,44.0,88059.73,41277.9984375,313337.73,39.14
LOS-0023,Ikorodu,Ikeja,Danfo,785157,0,2400.0,240,3.0,63360.0,4907.23125,88.0,172734.54,80969.315625,317063.86,40.38
LOS-0024,Ikorodu,Victoria Island,Private Car,677155,0,15600.0,240,3.0,358800.0,4232.21875,88.0,148974.1,69831.609375,577605.71,85.3
LOS-0025,Ikorodu,Victoria Island,Private Car,605700,0,15600.0,240,3.0,358800.0,3785.625,88.0,133254.0,62462.8125,554516.81,91.55
LOS-0026,Ikorodu,Victoria Island,Private Car,715216,1,20280.0,330,3.0,358800.0,4470.1,121.0,216352.84,73756.65000000001,648909.49,90.73
LOS-0027,Surulere,Ikeja,Danfo,550827,0,1800.0,120,1.5,47520.0,3442.66875,44.0,60590.97,28402.017187499998,136512.99,24.78
LOS-0028,Ikorodu,Victoria Island,Private Car,789133,0,15600.0,240,3.0,358800.0,4932.08125,88.0,173609.26,81379.340625,613788.6,77.78
LOS-0029,Surulere,Ikeja,Private Car,745358,0,4800.0,120,1.5,110400.0,4658.4875,44.0,81989.38,38432.521875,230821.9,30.97
LOS-0030,Ikorodu,Victoria Island,Danfo,158447,1,5400.0,330,3.0,95040.0,990.29375,121.0,47930.22,16339.846875000001,159310.06,100.54
LOS-0031,Surulere,Ikeja,BRT,733900,0,1140.0,120,1.5,25080.0,4586.875,44.0,80729.0,37841.71875,143650.72,19.57
LOS-0032,Egbeda,Victoria Island,Danfo,805954,0,3200.0,240,3.0,84480.0,5037.2125,88.0,177309.88,83114.00624999999,344903.89,42.79
LOS-0033,Surulere,Victoria Island,Danfo,78005,0,1800.0,120,1.5,47520.0,487.53125,44.0,8580.55,4022.1328125,60122.68,77.08
LOS-0034,Surulere,Victoria Island,Private Car,577623,0,8000.0,120,1.5,184000.0,3610.14375,44.0,63538.53,29783.685937500002,277322.22,48.01
LOS-0035,Ikorodu,Ikeja,BRT,86228,0,1500.0,240,3.0,33000.0,538.925,88.0,18970.16,8892.262499999999,60862.42,70.58
LOS-0036,Egbeda,Victoria Island,Private Car,732088,0,14000.0,240,3.0,322000.0,4575.55,88.0,161059.36,75496.575,558555.93,76.3
LOS-0037,Surulere,Ikeja,BRT,266004,0,1140.0,120,1.5,25080.0,1662.525,44.0,29260.44,13715.831250000001,68056.27,25.58
LOS-0038,Egbeda,Victoria Island,Private Car,643464,0,14000.0,240,3.0,322000.0,4021.65,88.0,141562.08,66357.225,529919.31,82.35
LOS-0039,Egbeda,Victoria Island,Danfo,95480,0,3200.0,240,3.0,84480.0,596.75,88.0,21005.6,9846.375,115331.98,120.79
LOS-0040,Egbeda,Ikeja,Danfo,205066,1,2400.0,330,3.0,42240.0,1281.6625,121.0,62032.46,21147.431249999998,125419.9,61.16
LOS-0041,Ikorodu,Ikeja,Private Car,599081,1,12480.0,330,3.0,220800.0,3744.25625,121.0,181222.0,61780.228125,463802.23,77.42
LOS-0042,Surulere,Ikeja,Private Car,787724,0,4800.0,120,1.5,110400.0,4923.275,44.0,86649.64,40617.018749999996,237666.66,30.17
